current_parent_name,pen_total,num_recs,rank,ownership,curr_ticker,curr_cik,curr_ISIN,hq_country,hq_state,industry,major_industry,viol_parent_url,sub_parent_url
Maersk,44459939,27,662,publicly traded,,,DK0010244425,Denmark,,ocean shipping,freight and logistics,https://violationtracker.goodjobsfirst.org/parent/maersk,https://subsidytracker.goodjobsfirst.org/parent/maersk
Magellan Midstream Partners,33421690,61,732,publicly traded,MMP,1126975,US5590801065,USA,Oklahoma,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/magellan-midstream-partners,https://subsidytracker.goodjobsfirst.org/parent/magellan-midstream-partners
Magna International,181457,7,2633,publicly traded,MGA,749098,CA5592224011,Canada,,automotive parts,automotive parts,https://violationtracker.goodjobsfirst.org/parent/magna-international,https://subsidytracker.goodjobsfirst.org/parent/magna-international
Mahle,3527182,22,1556,privately held,,,,Germany,,automotive parts,automotive parts,https://violationtracker.goodjobsfirst.org/parent/mahle,https://subsidytracker.goodjobsfirst.org/parent/mahle
Maimonides Medical Center,354369,4,2445,non-profit,,,,USA,New York,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/maimonides-medical-center,
Main Line Health,1030540,1,2026,non-profit,,,,USA,Pennsylvania,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/main-line-health,
Malibu Boats,43975,2,2953,publicly traded,MBUU,1590976,US56117J1007,USA,Tennessee,sport boats,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/malibu-boats,https://subsidytracker.goodjobsfirst.org/parent/malibu-boats
Mallinckrodt,2015367478,21,48,publicly traded,MNK,1567892,IE00BBGT3753,Ireland,,pharmaceuticals,pharmaceuticals,https://violationtracker.goodjobsfirst.org/parent/mallinckrodt,https://subsidytracker.goodjobsfirst.org/parent/mallinckrodt
Management & Training Corporation,33505146,23,731,privately held,,,,USA,Utah,private prisons,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/management-and-training-corporation,https://subsidytracker.goodjobsfirst.org/parent/management-and-training-corporation
Manitowoc,42000,1,2962,publicly traded,MTW,61986,US5635714059,USA,Wisconsin,construction equipment,heavy equipment,https://violationtracker.goodjobsfirst.org/parent/manitowoc,https://subsidytracker.goodjobsfirst.org/parent/manitowoc
Mann+Hummel,17400,2,3068,privately held,,,,Germany,,filtration products,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/mannhummel,https://subsidytracker.goodjobsfirst.org/parent/mannhummel
Manpower,18424689,19,947,publicly traded,MAN,871763,US56418H1005,USA,Wisconsin,business services,business services,https://violationtracker.goodjobsfirst.org/parent/manpower,https://subsidytracker.goodjobsfirst.org/parent/manpower
Mansfield Energy,24000,3,3029,privately held,,,,USA,Georgia,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/mansfield-energy,https://subsidytracker.goodjobsfirst.org/parent/mansfield-energy
Manulife Financial,104694836,24,449,publicly traded,MFC,1086888,CA56501R1064,Canada,,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/manulife-financial,https://subsidytracker.goodjobsfirst.org/parent/manulife-financial
Mar-Cone Appliance Parts Co.,1090534,1,2012,privately held,,,,USA,Pennsylvania,appliance parts,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/mar-cone-appliance-parts-co,
Marathon Oil,15981481,24,1000,publicly traded,MRO,101778,US5658491064,USA,Texas,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/marathon-oil,https://subsidytracker.goodjobsfirst.org/parent/marathon-oil
Marathon Petroleum,1515861883,343,68,publicly traded,MPC,1510295,US56585A1025,USA,Ohio,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/marathon-petroleum,https://subsidytracker.goodjobsfirst.org/parent/marathon-petroleum
Marazzi Group,257049,5,2549,privately held,,,,Italy,,building materials,building materials,https://violationtracker.goodjobsfirst.org/parent/marazzi-group,
Marcus Corp.,73336,5,2867,publicly traded,MCS,62234,US5663301068,USA,Wisconsin,movie theatres and hotels,entertainment,https://violationtracker.goodjobsfirst.org/parent/marcus-corp,https://subsidytracker.goodjobsfirst.org/parent/marcus-corp
Marfrig,1018270,26,2027,publicly traded,,,BRMRFGACNOR0,Brazil,,food products,food products,https://violationtracker.goodjobsfirst.org/parent/marfrig,https://subsidytracker.goodjobsfirst.org/parent/marfrig
Marine Products Corp.,264210,7,2537,publicly traded,MPX,1129155,US5684271084,USA,Georgia,motorboats,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/marine-products-corp,
MarineMax,63713,4,2893,publicly traded,HZO,1057060,US5679081084,USA,Florida,retail,retailing,https://violationtracker.goodjobsfirst.org/parent/marinemax,https://subsidytracker.goodjobsfirst.org/parent/marinemax
Marisco Ltd.,1066552,5,2020,privately held,,,,USA,Hawaii,marine services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/marisco-ltd,https://subsidytracker.goodjobsfirst.org/parent/marisco-ltd
Markel,4177367,24,1489,publicly traded,MKL,1096343,US5705351048,USA,Virginia,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/markel,https://subsidytracker.goodjobsfirst.org/parent/markel
Marriott International,23839142,112,854,publicly traded,Nasdaq: MAR,1048286,US5719032022,USA,Maryland,hotels,hotels,https://violationtracker.goodjobsfirst.org/parent/marriott-international,https://subsidytracker.goodjobsfirst.org/parent/marriott-international
Marriott Vacations Worldwide Corp.,1688006,7,1841,publicly traded,VAC,1524358,US57164Y1073,USA,Florida,vacation timeshares,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/marriott-vacations-worldwide-corp,
Mars Incorporated,625210,31,2235,privately held,,,,USA,Virginia,food products,food products,https://violationtracker.goodjobsfirst.org/parent/mars-incorporated,https://subsidytracker.goodjobsfirst.org/parent/mars-incorporated
Marsh & McLennan,1824610088,29,52,publicly traded,NYSE: MMC,62709,US5717481023,USA,New York,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/marsh-and-mclennan,https://subsidytracker.goodjobsfirst.org/parent/marsh-and-mclennan
Marten Transport,258616,7,2546,publicly traded,MRTN,799167,US5730751089,USA,Wisconsin,trucking,freight and logistics,https://violationtracker.goodjobsfirst.org/parent/marten-transport,https://subsidytracker.goodjobsfirst.org/parent/marten-transport
Martin Marietta Materials,4948468,160,1435,publicly traded,MLM,916076,US5732841060,USA,North Carolina,building materials,building materials,https://violationtracker.goodjobsfirst.org/parent/martin-marietta-materials,https://subsidytracker.goodjobsfirst.org/parent/martin-marietta-materials
Marubeni,159716110,84,356,publicly traded,,,JP3877600001,Japan,,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/marubeni,https://subsidytracker.goodjobsfirst.org/parent/marubeni
Marvell Technology,15500000,2,1013,publicly traded,MRVL,1058057,US5738741041,Bermuda,,semiconductors,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/marvell-technology,https://subsidytracker.goodjobsfirst.org/parent/marvell-technology
Masco,987968,32,2047,publicly traded,NYSE: MAS,62996,US5745991068,USA,Michigan,housewares,housewares and home furnishings,https://violationtracker.goodjobsfirst.org/parent/masco,https://subsidytracker.goodjobsfirst.org/parent/masco
Masonite International,2755454,21,1655,publicly traded,DOOR,893691,CA5753851099,USA,Florida,forest products,building materials,https://violationtracker.goodjobsfirst.org/parent/masonite-international,https://subsidytracker.goodjobsfirst.org/parent/masonite-international
Mass General Brigham,27435953,32,801,non-profit,,,,USA,Massachusetts,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/mass-general-brigham,
Massachusetts Institute of Technology,18476690,12,946,non-profit,,,,USA,Massachusetts,university,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/massachusetts-institute-of-technology,
Massachusetts Mutual Life Insurance,101083805,17,465,mutual,,,,USA,Massachusetts,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/massachusetts-mutual-life-insurance,https://subsidytracker.goodjobsfirst.org/parent/massachusetts-mutual-life-insurance
MasTec,14498422,61,1038,publicly traded,MTZ,15615,US5763231090,USA,Florida,construction & engineering,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/mastec,https://subsidytracker.goodjobsfirst.org/parent/mastec
MasterCard,20530777,4,897,publicly traded,NYSE: MA,1141391,US57636Q1040,USA,New York,financial services,financial services,https://violationtracker.goodjobsfirst.org/parent/mastercard,https://subsidytracker.goodjobsfirst.org/parent/mastercard
Materion,824704,16,2118,publicly traded,MTRN,1104657,US5766901012,USA,Ohio,advanced materials,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/materion,https://subsidytracker.goodjobsfirst.org/parent/materion
Matrix Service Co.,4064575,6,1500,publicly traded,MTRX,866273,US5768531056,USA,Oklahoma,industrial services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/matrix-service-co,https://subsidytracker.goodjobsfirst.org/parent/matrix-service-co
Matson,69112447,41,554,publicly traded,MATX,3453,US57686G1058,USA,Hawaii,ocean shipping,freight and logistics,https://violationtracker.goodjobsfirst.org/parent/matson,https://subsidytracker.goodjobsfirst.org/parent/matson
Mattel,17509850,8,964,publicly traded,MAT,63276,US5770811025,USA,California,toys,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/mattel,https://subsidytracker.goodjobsfirst.org/parent/mattel
Matthews International Corp.,45558,5,2946,publicly traded,MATW,63296,US5771281012,USA,Pennsylvania,cemetery products,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/matthews-international-corp,https://subsidytracker.goodjobsfirst.org/parent/matthews-international-corp
Maury Regional Health,7297354,3,1269,privately held,,,,USA,Tennessee,hospitals (for-profit),healthcare services,https://violationtracker.goodjobsfirst.org/parent/maury-regional-health,
Maxar Technologies,20024960,3,908,publicly traded,MAXR,1121142,US57778K1051,USA,Colorado,satellite imagery,information technology,https://violationtracker.goodjobsfirst.org/parent/maxar-technologies,https://subsidytracker.goodjobsfirst.org/parent/maxar-technologies
Maxim Healthcare Services,166830979,33,349,privately held,,,,USA,Maryland,healthcare staffing,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/maxim-healthcare-services,
Maximus,39934880,15,691,publicly traded,MMS,1032220,US5779331041,USA,Virginia,outsourced government services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/maximus,https://subsidytracker.goodjobsfirst.org/parent/maximus
Mayo Clinic,7878678,5,1247,non-profit,,,,USA,Minnesota,healthcare services,healthcare services,https://violationtracker.goodjobsfirst.org/parent/mayo-clinic,https://subsidytracker.goodjobsfirst.org/parent/mayo-clinic
Mazda Motor,76805050,2,530,publicly traded,,,JP3868400007,Japan,,motor vehicles,motor vehicles,https://violationtracker.goodjobsfirst.org/parent/mazda-motor,https://subsidytracker.goodjobsfirst.org/parent/mazda-motor
Mazza & Sons Inc.,601003,2,2251,privately held,,,,USA,New Jersey,demolition services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/mazza-and-sons-inc,
MBIA,75000000,2,538,publicly traded,MBI,814585,US55262C1009,USA,New York,financial services,financial services,https://violationtracker.goodjobsfirst.org/parent/mbia,https://subsidytracker.goodjobsfirst.org/parent/mbia
McCain Foods,298995,9,2503,privately held,,,,Canada,,food products,food products,https://violationtracker.goodjobsfirst.org/parent/mccain-foods,https://subsidytracker.goodjobsfirst.org/parent/mccain-foods
McCarthy Holdings,747985,8,2161,employee-owned,,,,USA,Missouri,construction & engineering,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/mccarthy-holdings,https://subsidytracker.goodjobsfirst.org/parent/mccarthy-holdings
McCormick,91150,3,2827,publicly traded,MKC,63754,US5797802064,USA,Maryland,food products,food products,https://violationtracker.goodjobsfirst.org/parent/mccormick,https://subsidytracker.goodjobsfirst.org/parent/mccormick
McDermott International,2136106,14,1752,privately held,,,,USA,Texas,oilfield services,oilfield services and supplies,https://violationtracker.goodjobsfirst.org/parent/mcdermott-international,https://subsidytracker.goodjobsfirst.org/parent/mcdermott-international
McDonald's,43010578,38,673,publicly traded,NYSE: MCD,63908,US5801351017,USA,Illinois,restaurants,restaurants and foodservice,https://violationtracker.goodjobsfirst.org/parent/mcdonalds,https://subsidytracker.goodjobsfirst.org/parent/mcdonalds
McKesson,9138355384,41,19,publicly traded,NYSE: MCK,927653,US58155Q1031,USA,California,wholesalers-medical supplies,wholesalers,https://violationtracker.goodjobsfirst.org/parent/mckesson,https://subsidytracker.goodjobsfirst.org/parent/mckesson
McKinsey,588009255,3,159,privately held,,,,USA,New York,management consulting,business services,https://violationtracker.goodjobsfirst.org/parent/mckinsey,https://subsidytracker.goodjobsfirst.org/parent/mckinsey
McLaren Health Care,13281091,8,1073,non-profit,,,,USA,Michigan,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/mclaren-health-care,
McLeod Health,16056970,3,996,non-profit,,,,USA,South Carolina,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/mcleod-health,
McWane,75011341,102,537,privately held,,,,USA,Alabama,plumbing supplies,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/mcwane,https://subsidytracker.goodjobsfirst.org/parent/mcwane
MDU Resources,3512031,79,1557,publicly traded,MDU,67716,US5526901096,USA,North Dakota,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/mdu-resources,https://subsidytracker.goodjobsfirst.org/parent/mdu-resources
Medford Trucking,808967,34,2128,privately held,,,,USA,West Virginia,trucking,freight and logistics,https://violationtracker.goodjobsfirst.org/parent/medford-trucking,
Medi-Lynx Cardiac Monitoring,2890000,1,1637,privately held,,,,USA,Texas,medical devices,medical equipment and supplies,https://violationtracker.goodjobsfirst.org/parent/medi-lynx-cardiac-monitoring,
Medical Center Health System,1900000,1,1802,non-profit,,,,USA,Texas,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/medical-center-health-system,
Medical Mutual of Ohio,222300,1,2583,mutual,,,,USA,Ohio,health insurance,healthcare services,https://violationtracker.goodjobsfirst.org/parent/medical-mutual-of-ohio,https://subsidytracker.goodjobsfirst.org/parent/medical-mutual-of-ohio
Medifast Inc.,3900000,2,1520,publicly traded,MED,910329,US58470H1014,USA,Maryland,weight loss products,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/medifast-inc,https://subsidytracker.goodjobsfirst.org/parent/medifast-inc
Medline Industries,6850538,18,1294,privately held,,,,USA,Illinois,medical supplies,medical equipment and supplies,https://violationtracker.goodjobsfirst.org/parent/medline-industries,https://subsidytracker.goodjobsfirst.org/parent/medline-industries
MedStar Health,43542785,17,670,non-profit,,,,USA,Maryland,healthcare services,healthcare services,https://violationtracker.goodjobsfirst.org/parent/medstar-health,
Medtronic,531292635,45,178,publicly traded,MDT,1613103,IE00BTN1Y115,Ireland,,medical devices,medical equipment and supplies,https://violationtracker.goodjobsfirst.org/parent/medtronic,https://subsidytracker.goodjobsfirst.org/parent/medtronic
Meijer,5921606,30,1359,privately held,,,,USA,Michigan,retail-supermarkets,retailing,https://violationtracker.goodjobsfirst.org/parent/meijer,https://subsidytracker.goodjobsfirst.org/parent/meijer
Meiji Yasuda Life Insurance,337305,6,2460,mutual,,,,Japan,,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/meiji-yasuda-life-insurance,https://subsidytracker.goodjobsfirst.org/parent/meiji-yasuda-life-insurance
Melrose Dairy Proteins,17850,1,3067,joint venture (owned 50-50 by Dairy Farmers of America and Land O'Lakes),,,,USA,Minnesota,food products,food products,https://violationtracker.goodjobsfirst.org/parent/melrose-dairy-proteins,
Melrose Industries,3246143,60,1588,publicly traded,LSE: MRO,,GB00BZ1G4322,United Kingdom,,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/melrose-industries,https://subsidytracker.goodjobsfirst.org/parent/melrose-industries
Memorial Hermann Health System,9971113,12,1177,non-profit,,,,USA,Texas,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/memorial-hermann-health-system,
Memorial Sloan Kettering Cancer Center,264047,4,2538,non-profit,,,,USA,New York,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/memorial-sloan-kettering-cancer-center,
Menard,3395838,66,1569,privately held,,,,USA,Wisconsin,retail-home improvement,retailing,https://violationtracker.goodjobsfirst.org/parent/menard,https://subsidytracker.goodjobsfirst.org/parent/menard
Mercedes-Benz Group,3352299397,25,35,publicly traded,,,DE0007100000,Germany,,motor vehicles,motor vehicles,https://violationtracker.goodjobsfirst.org/parent/mercedes-benz-group,https://subsidytracker.goodjobsfirst.org/parent/daimler
Merck,10467155581,80,15,publicly traded,MRK,310158,US58933Y1055,USA,New Jersey,pharmaceuticals,pharmaceuticals,https://violationtracker.goodjobsfirst.org/parent/merck,https://subsidytracker.goodjobsfirst.org/parent/merck
Merck KGaA (EMD),770644847,37,125,publicly traded,,,DE0006599905,Germany,,pharmaceuticals,pharmaceuticals,https://violationtracker.goodjobsfirst.org/parent/merck-kgaa-emd,https://subsidytracker.goodjobsfirst.org/parent/merck-kgaa-emd
Mercury General Corporation,42917697,13,675,publicly traded,MCY,64996,US5894001008,USA,California,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/mercury-general-corporation,
Mercy (Sisters of Mercy Health System),43989879,12,667,non-profit,,,,USA,Missouri,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/mercy-sisters-of-mercy-health-system,
MercyOne,5120000,6,1420,non-profit,,,,USA,Iowa,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/mercyone,
Merit Energy,3925988,33,1515,privately held,,,,USA,Texas,oil & gas,oil and gas,https://violationtracker.goodjobsfirst.org/parent/merit-energy,
Merit Medical Systems,20390000,3,900,publicly traded,MMSI,856982,US5898891040,USA,Utah,medical devices,medical equipment and supplies,https://violationtracker.goodjobsfirst.org/parent/merit-medical-systems,https://subsidytracker.goodjobsfirst.org/parent/merit-medical-systems
Meritage Homes,109772,7,2784,publicly traded,MTH,833079,US59001A1025,USA,Arizona,homebuilding,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/meritage-homes,
Mesa Air,2008199,89,1779,publicly traded,MESA,,US5904791358,USA,Arizona,airlines,airlines,https://violationtracker.goodjobsfirst.org/parent/mesa-air,https://subsidytracker.goodjobsfirst.org/parent/mesa-air
Meta Platforms Inc.,5788708654,10,30,publicly traded,Nasdaq: FB,1326801,US30303M1027,USA,California,internet services,information technology,https://violationtracker.goodjobsfirst.org/parent/meta-platforms-inc,https://subsidytracker.goodjobsfirst.org/parent/meta-platforms-inc
Metamining Inc.,30400,4,3002,privately held,,,,USA,California,mining,mining and minerals,https://violationtracker.goodjobsfirst.org/parent/metamining-inc,
"Methodist Healthcare System (San Antonio, TX)",44251,4,2952,joint venture (owned 50-50 by HCA Healthcare and Methodist Healthcare Ministries of South Texas),,,,USA,Texas,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/methodist-healthcare-system-san-antonio-,
Metinvest,5375783,362,1402,privately held,,,,Ukraine,,mining & steel,mining and minerals,https://violationtracker.goodjobsfirst.org/parent/metinvest,
MetLife,898604925,69,107,publicly traded,MET,1099219,US59156R1086,USA,New York,insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/metlife,https://subsidytracker.goodjobsfirst.org/parent/metlife
Metso Outotec,139516,11,2713,publicly traded,,,FI0009007835,Finland,,mining equipment,industrial equipment,https://violationtracker.goodjobsfirst.org/parent/metso-outotec,https://subsidytracker.goodjobsfirst.org/parent/metso-outotec
Mettler-Toledo International,63600,2,2894,publicly traded,MTD,1037646,US5926881054,USA,Ohio,scientific equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/mettler-toledo-international,https://subsidytracker.goodjobsfirst.org/parent/mettler-toledo-international
MGIC Investment Corp.,550000,1,2282,publicly traded,MTG,876437,US5528481030,USA,Wisconsin,mortgage insurance,financial services,https://violationtracker.goodjobsfirst.org/parent/mgic-investment-corp,
MGM Resorts International,13591207,29,1066,publicly traded,MGM,789570,US5529531015,USA,Nevada,casinos,entertainment,https://violationtracker.goodjobsfirst.org/parent/mgm-resorts-international,
MGP Ingredients,3628442,20,1552,publicly traded,MGPI,835011,US55303J1060,USA,Kansas,agribusiness,agribusiness,https://violationtracker.goodjobsfirst.org/parent/mgp-ingredients,https://subsidytracker.goodjobsfirst.org/parent/mgp-ingredients
Michaels Companies,10530698,15,1156,publicly traded,MIK,1593936,US59408Q1067,USA,Texas,retail-craft supplies,retailing,https://violationtracker.goodjobsfirst.org/parent/michaels-companies,https://subsidytracker.goodjobsfirst.org/parent/michaels-companies
Michelin,1468602,47,1902,publicly traded,,,FR0000121261,France,,automotive parts-tires,automotive parts,https://violationtracker.goodjobsfirst.org/parent/michelin,https://subsidytracker.goodjobsfirst.org/parent/michelin
Michigan Medicine,494300000,2,186,non-profit,,,,USA,Michigan,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/michigan-medicine,
Michigan Sugar Company,14148347,27,1050,cooperative,,,,USA,Michigan,agribusiness,agribusiness,https://violationtracker.goodjobsfirst.org/parent/michigan-sugar-company,https://subsidytracker.goodjobsfirst.org/parent/michigan-sugar-company
Microchip Technology Inc.,3058527,3,1609,publicly traded,MCHP,827054,US5950171042,USA,Arizona,semiconductors,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/microchip-technology-inc,https://subsidytracker.goodjobsfirst.org/parent/microchip-technology-inc
Micron Technology,155297533,8,362,publicly traded,MU,723125,US5951121038,USA,Idaho,semiconductors,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/micron-technology,https://subsidytracker.goodjobsfirst.org/parent/micron-technology
Microsoft,337039800,12,229,publicly traded,Nasdaq: MSFT,789019,US5949181045,USA,Washington,software,information technology,https://violationtracker.goodjobsfirst.org/parent/microsoft,https://subsidytracker.goodjobsfirst.org/parent/microsoft
Mid Oaks Investments,70649,4,2877,privately held,,,,USA,Illinois,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/mid-oaks-investments,https://subsidytracker.goodjobsfirst.org/parent/mid-oaks-investments
Mid-America Pipeline,2264054,4,1734,privately held,,,,USA,Oklahoma,pipelines,pipelines,https://violationtracker.goodjobsfirst.org/parent/mid-america-pipeline,
Mid-American Apartment Communities,11307000,2,1125,publicly traded,MAA,912595,US59522J1034,USA,Tennessee,real estate,real estate,https://violationtracker.goodjobsfirst.org/parent/mid-american-apartment-communities,https://subsidytracker.goodjobsfirst.org/parent/mid-american-apartment-communities
Middleby Corp.,716769,22,2176,publicly traded,MIDD,769520,US5962781010,USA,Illinois,commercial cooking equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/middleby-corp,https://subsidytracker.goodjobsfirst.org/parent/middleby-corp
MiddleGround Capital,1458617,43,1906,privately held,,,,USA,Kentucky,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/middleground-capital,https://subsidytracker.goodjobsfirst.org/parent/middleground-capital
MidFirst Bank,35000,1,2989,privately held,,,,USA,Oklahoma,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/midfirst-bank,https://subsidytracker.goodjobsfirst.org/parent/midfirst-bank
Midland States Bancorp,15955645,2,1002,publicly traded,MSBI,1466026,US5977421057,USA,Illinois,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/midland-states-bancorp,https://subsidytracker.goodjobsfirst.org/parent/midland-states-bancorp
Midorikawa Chemical Industry Co.,21967390,29,876,privately held,,,,Japan,,specialty materials,chemicals,https://violationtracker.goodjobsfirst.org/parent/midorikawa-chemical-industry-co,
Millennium Health,263002749,3,267,privately held,,,,USA,California,healthcare services,healthcare services,https://violationtracker.goodjobsfirst.org/parent/millennium-health,
Miller Industries,69664,6,2881,publicly traded,MLR,924822,US6005512040,USA,Tennessee,towing equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/miller-industries,https://subsidytracker.goodjobsfirst.org/parent/miller-industries
MillerKnoll Inc.,910840,7,2072,publicly traded,MLKN,66382,US6005441000,USA,Michigan,office furniture,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/millerknoll-inc,
Milliken,906956,12,2074,privately held,,,,USA,South Carolina,textiles,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/milliken,https://subsidytracker.goodjobsfirst.org/parent/milliken
"MiMedx Group, Inc",8000000,2,1241,publicly traded,MDXG,1376339,US6024961012,USA,Georgia,therapeutic biologics,medical equipment and supplies,https://violationtracker.goodjobsfirst.org/parent/mimedx-group-inc,https://subsidytracker.goodjobsfirst.org/parent/mimedx-group-inc
Minafin,176896,8,2640,privately held,,,,France,,chemicals,chemicals,https://violationtracker.goodjobsfirst.org/parent/minafin,https://subsidytracker.goodjobsfirst.org/parent/minafin
MinebeaMitsumi,13730557,7,1063,publicly traded,,,JP3906000009,Japan,,industrial equipment,industrial equipment,https://violationtracker.goodjobsfirst.org/parent/minebeamitsumi,https://subsidytracker.goodjobsfirst.org/parent/minebeamitsumi
Minerals Technologies Inc.,819271,47,2122,publicly traded,MTX,891014,US6031581068,USA,New York,minerals,mining and minerals,https://violationtracker.goodjobsfirst.org/parent/minerals-technologies-inc,https://subsidytracker.goodjobsfirst.org/parent/minerals-technologies-inc
Minnkota Power Cooperative,100148079,3,467,cooperative,,,,USA,North Dakota,electric utility,utilities and power generation,https://violationtracker.goodjobsfirst.org/parent/minnkota-power-cooperative,
Mistras Group,6099763,8,1343,publicly traded,MG,1436126,US60649T1079,USA,New Jersey,industrial services,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/mistras-group,https://subsidytracker.goodjobsfirst.org/parent/mistras-group
Mitsuba,135000000,1,388,publicly traded,,,JP3895200008,Japan,,automotive parts,automotive parts,https://violationtracker.goodjobsfirst.org/parent/mitsuba,
Mitsubishi Chemical,5633389,23,1382,publicly traded,,,JP3897700005,Japan,,chemicals,chemicals,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-chemical,
Mitsubishi Corporation,138102555,37,382,publicly traded,,,JP3898400001,Japan,,diversified trading company,diversified,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-corporation,
Mitsubishi Electric,190048065,7,323,publicly traded,,,JP3902400005,Japan,,electrical and electronic products,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-electric,
Mitsubishi Heavy Industries,15099429,13,1019,publicly traded,,,JP3900000005,Japan,,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-heavy-industries,
Mitsubishi Materials,388005,21,2421,publicly traded,,,JP3903000002,Japan,,cement,building materials,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-materials,
Mitsubishi Motors,3576500,5,1554,publicly traded,,,JP3899800001,Japan,,automobiles,motor vehicles,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-motors,
Mitsubishi UFJ Financial Group,643833714,14,149,publicly traded,,,XS2132337697,Japan,,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/mitsubishi-ufj-financial-group,
Mitsui,106182612,18,444,publicly traded,,,JP3893600001,Japan,,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/mitsui,https://subsidytracker.goodjobsfirst.org/parent/mitsui
Mizuho Financial,130675000,5,398,publicly traded,MFG,1335730,JP3885780001,Japan,,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/mizuho-financial,https://subsidytracker.goodjobsfirst.org/parent/mizuho-financial
MKS Instruments,58279,5,2910,publicly traded,MKSI,1049502,US55306N1046,USA,Massachusetts,scientific equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/mks-instruments,https://subsidytracker.goodjobsfirst.org/parent/mks-instruments
